Name,Type,County,Official_URL,ID,Vendor,API_Endpoint,Scrape_Target
College Place,City,Walla Walla,https://www.cpwa.us/,collegeplace,BoardDocs,https://www.cpwa.us/,https://www.cpwa.us/
Colton,City,Whitman,http://www.coltonwashington.us/,colton,Custom/Unknown,http://www.coltonwashington.us/,https://www.coltonwashington.us/your-government/town-hall/minutes/
Colville,City,Stevens,https://www.colville.wa.us/,colville,Custom/Unknown,https://www.colville.wa.us/,Manual Review Required
Conconully,City,Okanogan,http://townofconconully.com/,conconully,Custom/Unknown,http://townofconconully.com/,http://townofconconully.com/towncouncil.htm
Concrete,City,Skagit,https://www.townofconcrete.com/,concrete,Custom/Unknown,https://www.townofconcrete.com/,https://www.townofconcrete.com/town-of-concrete-town-council-meeting-may-11-2026/
Connell,City,Franklin,https://www.cityofconnell.com/,connell,Custom/Unknown,https://www.cityofconnell.com/,https://www.cityofconnell.com/boards
Cosmopolis,City,Grays Harbor,https://www.cosmopoliswa.gov/,cosmopolis,MuniCode,https://www.cosmopoliswa.gov/,https://www.cosmopoliswa.gov/
Coulee City,City,Grant,https://couleecitywa.org/,couleecity,Custom/Unknown,https://couleecitywa.org/,https://couleecitywa.org/news-detail?item_id=33257
Coulee Dam,City,Douglas/ Grant/ Okanogan,https://townofcouleedam.org/,couleedam,Custom/Unknown,https://townofcouleedam.org/,https://townofcouleedam.org/meeting-minutes
Coupeville,City,Island,https://townofcoupeville.org/,coupeville,Custom/Unknown,https://townofcoupeville.org/,https://townofcoupeville.org/government/boards-commissions/
Covington,City,King,https://www.covingtonwa.gov/,covington,Custom/Unknown,https://www.covingtonwa.gov/,https://www.covingtonwa.gov/city_departments/executive/cityclerk/agendaandminutes.php
Creston,City,Lincoln,,creston,Unknown,None,None
Cusick,City,Pend Oreille,https://www.townofcusick.com/,cusick,Custom/Unknown,https://www.townofcusick.com/,Manual Review Required
Darrington,City,Snohomish,https://townofdarrington.com/,darrington,Custom/Unknown,https://townofdarrington.com/,https://townofdarrington.com/meetings-and-agendas/
Davenport,City,Lincoln,https://www.davenportwa.us/,davenport,Custom/Unknown,https://www.davenportwa.us/,https://www.davenportwa.us/index.asp?SEC=2FAA093E-EC07-4AF4-9E6E-537AD4A3B16F&Type=B_BASIC
Dayton,City,Columbia,https://www.daytonwa.com/,dayton,CivicPlus/CivicWeb,https://www.daytonwa.com/,https://www.daytonwa.com/
Deer Park,City,Spokane,https://www.cityofdeerparkwa.com/,deerpark,Custom/Unknown,https://www.cityofdeerparkwa.com/,https://www.cityofdeerparkwa.com/council-meetings
Des Moines,City,King,https://www.desmoineswa.gov/,desmoines,Custom/Unknown,https://www.desmoineswa.gov/,https://www.desmoineswa.gov/your_government/city_council/n_e_w_-_2026_city_council_agenda___minutes
DuPont,City,Pierce,https://www.dupontwa.gov/,dupont,CivicPlus/CivicWeb,https://www.dupontwa.gov/,https://www.dupontwa.gov/
Duvall,City,King,https://www.duvallwa.gov/,duvall,CivicPlus/CivicWeb,https://www.duvallwa.gov/,https://www.duvallwa.gov/
East Wenatchee,City,Douglas,https://www.eastwenatcheewa.gov/,eastwenatchee,CivicPlus/CivicWeb,https://www.eastwenatcheewa.gov/,https://www.eastwenatcheewa.gov/
Eatonville,City,Pierce,https://eatonville-wa.gov/,eatonville,Custom/Unknown,https://eatonville-wa.gov/,https://eatonville-wa.gov/agendas/
Edgewood,City,Pierce,https://www.cityofedgewood.org/,edgewood,CivicPlus/CivicWeb,https://www.edgewoodwa.gov/,https://www.edgewoodwa.gov/
Edmonds,City,Snohomish,https://www.edmondswa.gov/,edmonds,Custom/Unknown,https://www.edmondswa.gov/,https://www.edmondswa.gov/government/city_council/council_meeting_minutes
Electric City,City,Grant,https://www.electriccity.us/,electriccity,Custom/Unknown,https://www.electriccity.us/,https://www.electriccity.us/government/agendas___minutes.php
Ellensburg,City,Kittitas,https://ci.ellensburg.wa.us/,ellensburg,CivicPlus/CivicWeb,https://ci.ellensburg.wa.us/,https://ci.ellensburg.wa.us/
Elma,City,Grays Harbor,https://cityofelma.com/,elma,Custom/Unknown,https://cityofelma.com/,Manual Review Required
Elmer City,City,Okanogan,https://www.townofelmercity.com/,elmercity,Custom/Unknown,https://www.townofelmercity.com/,Manual Review Required
Endicott,City,Whitman,https://endicottwa.wordpress.com/,endicott,Custom/Unknown,https://endicottwa.wordpress.com/,https://endicottwa.wordpress.com/mayor-council/
Entiat,City,Chelan,https://www.entiatwa.us/,entiat,Custom/Unknown,https://www.entiatwa.us/,https://www.entiatwa.us/your_government/agendas_and_minutes/document_archive.php#outer-56
Enumclaw,City,King,https://www.cityofenumclaw.net/,enumclaw,CivicPlus/CivicWeb,https://www.cityofenumclaw.net/,https://www.cityofenumclaw.net/
Ephrata,City,Grant,https://www.ephrata.org/,ephrata,CivicPlus/CivicWeb,https://www.ephrata.org/,https://www.ephrata.org/
Everett,City,Snohomish,https://everettwa.gov/,everett,CivicPlus/CivicWeb,https://www.everettwa.gov/,https://www.everettwa.gov/
Everson,City,Whatcom,https://www.ci.everson.wa.us/,everson,Custom/Unknown,https://www.ci.everson.wa.us/,https://www.ci.everson.wa.us/departments/city_council.php
Fairfield,City,Spokane,https://fairfieldwa.com/,fairfield,Custom/Unknown,https://fairfieldwa.com/,https://fairfieldwa.com/cemetery/cemetery-board-meeting-minutes/
Farmington,City,Whitman,https://farmingtonwa.com/,farmington,Custom/Unknown,https://farmingtonwa.com/,https://farmingtonwa.com/city-hall/city-council/
Federal Way,City,King,https://www.federalwaywa.gov/,federalway,Custom/Unknown,https://www.federalwaywa.gov/,https://www.federalwaywa.gov/page/meetings-and-agendas
Ferndale,City,Whatcom,https://www.cityofferndale.org/,ferndale,CivicPlus/CivicWeb,https://www.cityofferndale.org/,https://www.cityofferndale.org/
Fife,City,Pierce,https://www.fifewa.gov/,fife,CivicPlus/CivicWeb,https://www.fifewa.gov/,https://www.fifewa.gov/
Fircrest,City,Pierce,https://www.cityoffircrest.net/,fircrest,Custom/Unknown,https://www.cityoffircrest.net/,https://www.cityoffircrest.net/updates/
Forks,City,Clallam,https://forkswashington.org/,forks,Custom/Unknown,https://forkswashington.org/,https://forkswashington.org/document-category/council-agendas/
Friday Harbor,City,San Juan,http://www.fridayharbor.org/,fridayharbor,CivicPlus/CivicWeb,https://www.fridayharbor.org/,https://www.fridayharbor.org/
Garfield,City,Whitman,https://garfieldwa.com/,garfield,Custom/Unknown,https://garfieldwa.com/,Manual Review Required
George,City,Grant,http://www.cityofgeorge.org/,george,Custom/Unknown,http://www.cityofgeorge.org/,https://www.cityofgeorge.org/wp-content/uploads/7.15.2025-Agenda.pdf
Gig Harbor,City,Pierce,https://www.gigharborwa.gov/,gigharbor,CivicPlus/CivicWeb,https://www.gigharborwa.gov/,https://www.gigharborwa.gov/
Gold Bar,City,Snohomish,https://cityofgoldbar.us/,goldbar,Custom/Unknown,https://cityofgoldbar.us/,https://cityofgoldbar.us/city-government/city-council/council-agenda-minutes/
Goldendale,City,Klickitat,https://www.ci.goldendale.wa.us/,goldendale,Custom/Unknown,https://www.ci.goldendale.wa.us/,https://www.ci.goldendale.wa.us/your-government/city-council/agendas-minutes
Grand Coulee,City,Grant,https://gccitywa.org/,grandcoulee,Custom/Unknown,https://gccitywa.org/,https://gccitywa.org/documents/2025-city-council-agendas/
Grandview,City,Yakima,https://www.grandview.wa.us/,grandview,Custom/Unknown,https://www.grandview.wa.us/,https://www.grandview.wa.us/public-documents/2019-council-agendas/
Granger,City,Yakima,https://www.grangerwashington.org/,granger,CivicPlus/CivicWeb,https://www.grangerwashington.org/,https://www.grangerwashington.org/
Granite Falls,City,Snohomish,https://ci.granite-falls.wa.us/,granitefalls,Custom/Unknown,https://ci.granite-falls.wa.us/,https://ci.granite-falls.wa.us/government/agendas_minutes/city_council_agendas_minutes.php
Hamilton,City,Skagit,https://www.townofhamiltonwa.com/,hamilton,Custom/Unknown,https://www.townofhamiltonwa.com/,https://www.townofhamiltonwa.com/city-council/
Harrah,City,Yakima,,harrah,Unknown,None,None
Harrington,City,Lincoln,,harrington,Unknown,None,None
Hartline,City,Grant,,hartline,Unknown,None,None
Hatton,City,Adams,,hatton,Unknown,None,None
Hoquiam,City,Grays Harbor,https://cityofhoquiam.com/,hoquiam,Custom/Unknown,https://cityofhoquiam.com/,Manual Review Required
Hunts Point,City,King,https://huntspoint-wa.gov/,huntspoint,Custom/Unknown,https://huntspoint-wa.gov/,https://huntspoint-wa.gov/index.asp?SEC=E89EBABA-9DD7-4065-AEB6-E7561F554EDF
Ilwaco,City,Pacific,https://ilwaco-wa.gov/,ilwaco,Custom/Unknown,https://ilwaco-wa.gov/,https://ilwaco-wa.gov/meetings
Index,City,Snohomish,,index,Unknown,None,None
Ione,City,Pend Oreille,,ione,Unknown,None,None
Issaquah,City,King,https://www.issaquahwa.gov/,issaquah,CivicPlus/CivicWeb,https://www.issaquahwa.gov/,https://www.issaquahwa.gov/
Kahlotus,City,Franklin,,kahlotus,Unknown,None,None
