jurisdiction,total_2026_files,agendas,minutes
seattle,221,128,93
kingcounty,180,107,73
olympia,150,98,52
snohomish,136,71,65
whatcom,107,68,39
cityoftacoma,74,74,0
clark,65,53,12
bellevue,58,55,3
redmond,52,52,0
mesa,1,1,0
douglascounty,1,1,0
toledo,1,1,0
cityofnorthport,1,1,0
cityofmalden,1,1,0
cityoflacrosse,1,1,0
cityofdeerpark,1,1,0
